SITE_ID,VISIT_NO,DATE_COL,E_I,RT
NLA06608-1091,1,7/16/07,0.575,1.51
NLA06608-1096,1,8/2/07,0.041,0.04
NLA06608-1100,1,6/28/07,0.306,1.12
NLA06608-1101,1,9/9/07,0.292,0.52
NLA06608-1102,1,7/16/07,0.328,3.35
NLA06608-1103,1,8/28/07,0.131,0.67
NLA06608-1107,1,8/27/07,0.638,0.34
NLA06608-1108,1,6/21/07,0.126,0.38
NLA06608-1111,1,7/10/07,0.421,0.41
NLA06608-1113,1,7/16/07,0.044,0.25
NLA06608-1114,1,6/21/07,0.058,0.29
NLA06608-1115,1,7/30/07,0.164,0.4
NLA06608-1119,1,8/30/07,0.037,0.18
NLA06608-1120,1,8/27/07,0.045,0.11
NLA06608-1122,1,7/26/07,0.102,0.13
NLA06608-1124,1,7/17/07,0.214,1.46
NLA06608-1125,1,8/7/07,0.101,0.43
NLA06608-1129,1,6/6/07,0.115,0.69
NLA06608-1130,1,8/21/07,0.004,0.02
NLA06608-1131,1,6/26/07,0.166,2.26
NLA06608-1134,1,8/7/07,0.798,2.86
NLA06608-1141,1,7/9/07,0.159,3.5
NLA06608-1143,1,7/31/07,0.004,0.01
NLA06608-1145,1,9/12/07,0.249,0.54
NLA06608-1147,1,7/27/07,0.157,6.23
NLA06608-1148,1,7/31/07,0.763,0.66
NLA06608-1150,1,7/19/07,0.411,0.92
NLA06608-1151,1,7/17/07,0.07,0.16
NLA06608-1153,1,7/19/07,0.024,1.4
NLA06608-1155,1,7/17/07,0.867,1.45
NLA06608-1162,1,9/6/07,0.215,1.93
NLA06608-1163,1,7/2/07,0.323,2.22
NLA06608-1164,1,9/11/07,0.107,0.3
NLA06608-1166,1,8/14/07,0.636,8.04
NLA06608-1167,1,9/20/07,0.203,2.12
NLA06608-1170,1,7/18/07,0.121,2.23
NLA06608-1172,1,6/27/07,0.106,0.35
NLA06608-1174,1,8/15/07,0.069,1.04
NLA06608-1175,1,8/21/07,0.594,1.12
NLA06608-1177,1,6/28/07,0.023,0.02
NLA06608-1179,1,8/1/07,0.431,0.32
NLA06608-1181,1,6/26/07,0.14,0.08
NLA06608-1183,1,8/29/07,0.144,1.7
NLA06608-1185,1,8/16/07,0.326,0.22
NLA06608-1189,1,9/21/07,0.136,0.71
NLA06608-1190,1,6/25/07,0.062,0.17
NLA06608-1191,1,8/6/07,0.044,0.03
NLA06608-1195,1,7/2/07,0.204,0.88
NLA06608-1198,1,7/25/07,0.426,2.5
NLA06608-1199,1,8/15/07,0.102,0.51
NLA06608-1204,1,8/28/07,0.161,1.15
NLA06608-1206,1,8/2/07,0.32,0.47
NLA06608-1207,1,7/26/07,0.107,0.51
NLA06608-1208,1,7/12/07,0.346,0.48
NLA06608-1209,1,8/15/07,0.07,0.14
NLA06608-1210,1,8/15/07,0.875,0.77
NLA06608-1217,1,7/24/07,0.119,0.06
NLA06608-1219,1,8/20/07,0.829,0.75
NLA06608-1220,1,7/11/07,0.172,0.16
NLA06608-1222,1,7/31/07,0.347,1.03
NLA06608-1223,1,7/24/07,0.82,0.76
NLA06608-1224,1,7/12/07,0.553,1.18
NLA06608-1227,1,7/3/07,0.32,1.2
NLA06608-1232,1,8/22/07,0.663,2.63
NLA06608-1236,1,8/16/07,0.424,0.62
NLA06608-1238,1,8/16/07,0.181,2.46
NLA06608-1239,1,7/24/07,0.76,0.91
NLA06608-1240,1,7/18/07,0.13,0.32
NLA06608-1241,1,6/23/07,0.099,0.22
NLA06608-1242,1,7/10/07,0.593,2.19
NLA06608-1243,1,8/7/07,0.072,0.36
NLA06608-1244,1,8/7/07,0.629,0.73
NLA06608-1245,1,6/29/07,0.344,0.23
NLA06608-1255,1,8/15/07,0.645,0.45
NLA06608-1256,1,7/17/07,0.106,0.15
NLA06608-1258,1,8/22/07,0.471,0.36
NLA06608-1259,1,6/21/07,0.005,0.27
NLA06608-1261,1,6/25/07,0.272,0.13
NLA06608-1262,1,7/9/07,0.202,0.37
NLA06608-1263,1,8/23/07,0.183,0.46
NLA06608-1266,1,7/12/07,0.97,0.88
NLA06608-1268,1,7/17/07,0.228,0.5
NLA06608-1269,1,7/24/07,0.356,1.35
NLA06608-1270,1,8/30/07,0.013,0.14
NLA06608-1271,1,8/7/07,0.564,0.55
NLA06608-1273,1,9/7/07,0.083,0.08
NLA06608-1274,1,8/1/07,0.298,1.65
NLA06608-1278,1,8/21/07,0.509,2.22
NLA06608-1279,1,8/26/07,0.106,0.26
NLA06608-1281,1,7/18/07,0.26,1.58
NLA06608-1283,1,6/27/07,0.186,0.52
NLA06608-1284,1,8/24/07,0.094,1.59
NLA06608-1288,1,8/27/07,0.052,0.15
NLA06608-1292,1,7/20/07,0.182,0.68
NLA06608-1295,1,7/12/07,0.434,0.1
NLA06608-1297,1,9/13/07,0.294,0.49
NLA06608-1300,1,8/15/07,0.303,2.91
NLA06608-1303,1,8/8/07,0.293,0.56
NLA06608-1312,1,9/27/07,0.396,1.08
NLA06608-1316,1,8/17/07,0.421,0.26
NLA06608-1319,1,8/7/07,0.826,1.38
NLA06608-1321,1,8/1/07,0.019,0.4
NLA06608-1323,1,6/26/07,0.07,0.4
NLA06608-1326,1,8/6/07,0.844,1.12
NLA06608-1329,1,8/8/07,0.082,0.24
NLA06608-1332,1,8/21/07,0.332,0.12
NLA06608-1333,1,9/24/07,0.054,0.45
NLA06608-1334,1,7/31/07,0.028,0.33
NLA06608-1336,1,9/19/07,0.093,0.09
NLA06608-1338,1,6/27/07,0.151,0.11
NLA06608-1339,1,8/30/07,0.298,1
NLA06608-1342,1,7/17/07,0.088,0.22
NLA06608-1344,1,7/10/07,0.319,1.35
NLA06608-1346,1,7/12/07,0.115,0.33
NLA06608-1347,1,6/28/07,0.162,0.6
NLA06608-1348,1,8/8/07,0.068,0.69
NLA06608-1349,1,8/23/07,0.283,0.33
NLA06608-1354,1,7/28/07,0.101,1.53
NLA06608-1355,1,7/3/07,0.148,2.22
NLA06608-1356,1,8/13/07,0.169,0.22
NLA06608-1358,1,8/28/07,0.097,0.23
NLA06608-1359,1,7/31/07,0.126,0.3
NLA06608-1360,1,8/19/07,0.271,1.52
NLA06608-1364,1,6/20/07,0.134,0.14
NLA06608-1365,1,8/21/07,0.03,0.11
NLA06608-1367,1,8/14/07,0.616,0.34
NLA06608-1368,1,9/18/07,0.188,0.33
NLA06608-1369,1,6/21/07,0.076,0.14
NLA06608-1370,1,8/31/07,0.107,0.41
NLA06608-1372,1,9/17/07,0.112,0.34
NLA06608-1375,1,9/4/07,0.273,0.73
NLA06608-1376,1,9/26/07,0.134,0.35
NLA06608-1377,1,7/22/07,0.101,1.33
NLA06608-1380,1,7/18/07,0.11,0.45
NLA06608-1383,1,8/22/07,0.582,2.37
NLA06608-1387,1,7/20/07,0.629,0.96
NLA06608-1389,1,8/7/07,0.05,0.03
NLA06608-1390,1,7/19/07,0.481,3.87
NLA06608-1391,1,9/5/07,0.134,0.31
NLA06608-1396,1,6/21/07,0.004,0.02
NLA06608-1397,1,7/10/07,0.452,0.91
NLA06608-1398,1,8/17/07,0.462,0.33
NLA06608-1401,1,7/11/07,0.127,0.27
NLA06608-1403,1,7/2/07,0.308,2.23
NLA06608-1413,1,7/11/07,0.481,0.66
NLA06608-1414,1,8/28/07,0.24,0.31
NLA06608-1417,1,7/31/07,0.124,1.45
NLA06608-1420,1,9/18/07,0.396,0.41
NLA06608-1421,1,7/17/07,0.2,0.13
NLA06608-1425,1,8/7/07,0.148,0.69
NLA06608-1426,1,7/23/07,0.489,0.38
NLA06608-1432,1,6/19/07,0.018,0.03
NLA06608-1434,1,8/1/07,0.183,0.59
NLA06608-1435,1,8/1/07,0.359,0.45
NLA06608-1436,1,6/21/07,0.476,1.64
NLA06608-1439,1,7/17/07,0.129,1.57
NLA06608-1445,1,7/18/07,0.493,0.33
NLA06608-1446,1,8/29/07,0.403,1.32
NLA06608-1447,1,7/18/07,0.447,1.62
NLA06608-1450,1,7/24/07,0.099,1.02
NLA06608-1454,1,7/25/07,0.726,1.98
NLA06608-1455,1,8/13/07,0.25,0.68
NLA06608-1460,1,7/26/07,0.648,3.43
NLA06608-1461,1,9/26/07,0.174,1.22
NLA06608-1462,1,8/20/07,0.893,0.39
NLA06608-1465,1,8/21/07,0.021,0.21
NLA06608-1469,1,7/10/07,0.288,0.16
NLA06608-1473,1,7/22/07,0.066,1.51
NLA06608-1476,1,6/14/07,0.292,0.23
NLA06608-1481,1,8/14/07,0.232,3.71
NLA06608-1482,1,7/24/07,0.596,0.27
NLA06608-1483,1,7/25/07,0.02,0.46
NLA06608-1484,1,8/26/07,0.034,0.18
NLA06608-1487,1,8/20/07,0.099,0.49
NLA06608-1488,1,7/31/07,0.534,0.24
NLA06608-1489,1,8/29/07,0.43,0.66
NLA06608-1492,1,6/28/07,0.09,0.21
NLA06608-1496,1,9/6/07,0.159,0.08
NLA06608-1499,1,8/8/07,0.227,2.17
NLA06608-1504,1,8/27/07,0.202,0.21
NLA06608-1508,1,8/20/07,0.677,0.55
NLA06608-1510,1,8/17/07,0.196,0.17
NLA06608-1511,1,6/12/07,0.363,1.22
NLA06608-1515,1,8/29/07,0.276,0.31
NLA06608-1517,1,8/1/07,0.111,0.31
NLA06608-1521,1,8/14/07,0.123,0.18
NLA06608-1524,1,6/12/07,0.334,0.6
NLA06608-1527,1,8/8/07,0.47,0.45
NLA06608-1529,1,6/19/07,0.108,0.56
NLA06608-1532,1,7/24/07,0.048,0.18
NLA06608-1537,1,7/15/07,0.02,0.15
NLA06608-1538,1,7/26/07,0.161,0.95
NLA06608-1544,1,7/25/07,0.665,1.16
NLA06608-1556,1,8/14/07,0.102,0.3
NLA06608-1558,1,9/12/07,0.299,0.52
NLA06608-1560,1,8/21/07,0.28,0.88
NLA06608-1561,1,6/19/07,0.102,0.23
NLA06608-1562,1,6/11/07,0.237,2.04
NLA06608-1564,1,6/26/07,0.265,0.22
NLA06608-1568,1,7/10/07,0.058,0.07
NLA06608-1569,1,8/14/07,0.341,0.48
NLA06608-1572,1,8/20/07,0.315,0.33
NLA06608-1575,1,7/24/07,0.81,2.73
NLA06608-1576,1,9/9/07,0.448,0.64
NLA06608-1577,1,7/19/07,0.335,2.18
NLA06608-1578,1,8/21/07,0.414,0.45
NLA06608-1579,1,7/24/07,0.276,2.91
NLA06608-1586,1,7/10/07,0.199,0.26
NLA06608-1593,1,8/8/07,0.211,0.45
NLA06608-1595,1,6/28/07,0.32,1.49
NLA06608-1596,1,8/20/07,0.713,0.29
NLA06608-1600,1,7/19/07,0.22,0.89
NLA06608-1602,1,5/30/07,0.132,0.88
NLA06608-1608,1,8/26/07,0.032,0.05
NLA06608-1610,1,8/15/07,0.092,2.65
NLA06608-1617,1,8/8/07,0.062,0.34
NLA06608-1623,1,7/19/07,0.045,0.04
NLA06608-1626,1,8/8/07,0.002,0.01
NLA06608-1630,1,7/12/07,0.397,0.66
NLA06608-1631,1,8/8/07,0.332,1.24
NLA06608-1633,1,7/13/07,0.048,0.7
NLA06608-1637,1,8/28/07,0.135,0.7
NLA06608-1638,1,8/6/07,0.267,4.28
NLA06608-1640,1,7/26/07,0.033,0.26
NLA06608-1641,1,6/19/07,0.285,1.06
NLA06608-1643,1,7/19/07,0.628,4.15
NLA06608-1652,1,6/13/07,0.063,0.11
NLA06608-1654,1,7/9/07,0.028,0.13
NLA06608-1655,1,6/6/07,0.543,0.33
NLA06608-1668,1,7/17/07,0.022,0.04
NLA06608-1672,1,9/5/07,0.229,0.1
NLA06608-1674,1,7/27/07,0.77,5.56
NLA06608-1675,1,7/23/07,0.48,2.81
NLA06608-1679,1,7/15/07,0.204,0.88
NLA06608-1684,1,6/27/07,0.066,0.26
NLA06608-1687,1,7/9/07,0.39,0.84
NLA06608-1690,1,9/10/07,0.039,0.25
NLA06608-1695,1,9/6/07,0.085,0.82
NLA06608-1703,1,8/28/07,0.481,0.61
NLA06608-1704,1,9/5/07,0.281,0.58
NLA06608-1706,1,9/17/07,0.127,0.38
NLA06608-1707,1,7/22/07,0.199,1.88
NLA06608-1711,1,9/4/07,0.008,0.02
NLA06608-1715,1,9/6/07,0.001,0
NLA06608-1717,1,9/25/07,0.133,1.73
NLA06608-1719,1,6/18/07,0.698,0.45
NLA06608-1723,1,6/20/07,0.159,0.49
NLA06608-1724,1,8/7/07,0.135,0.55
NLA06608-1733,1,7/12/07,0.547,0.27
NLA06608-1735,1,9/11/07,0.146,0.1
NLA06608-1736,1,8/1/07,0.492,0.96
NLA06608-1739,1,7/20/07,0,0.2
NLA06608-1740,1,8/10/07,0.218,0.52
NLA06608-1741,1,7/9/07,0.06,0.03
NLA06608-1742,1,7/18/07,0.423,2.16
NLA06608-1748,1,7/31/07,0.007,2.19
NLA06608-1753,1,8/22/07,0.245,0.7
NLA06608-1755,1,8/20/07,0.182,1.51
NLA06608-1758,1,7/23/07,0.446,0.27
NLA06608-1771,1,8/28/07,0.353,1.8
NLA06608-1775,1,8/24/07,0.291,0.41
NLA06608-1781,1,10/2/07,0.324,1.67
NLA06608-1782,1,9/13/07,0.302,0.5
NLA06608-1789,1,9/19/07,0.061,0.15
NLA06608-1791,1,8/8/07,0.493,1.24
NLA06608-1793,1,7/23/07,0.047,0.14
NLA06608-1800,1,8/27/07,0.185,0.15
NLA06608-1802,1,9/12/07,0.166,0.5
NLA06608-1804,1,6/27/07,0.467,1.58
NLA06608-1808,1,9/13/07,0.312,0.34
NLA06608-1810,1,7/16/07,0.209,1.22
NLA06608-1811,1,6/25/07,0.511,0.63
NLA06608-1812,1,8/27/07,0.107,0.48
NLA06608-1818,1,7/10/07,0.053,2.02
NLA06608-1821,1,8/9/07,0.239,0.11
NLA06608-1824,1,7/25/07,0.151,0.39
NLA06608-1825,1,9/11/07,0.611,0.76
NLA06608-1835,1,7/24/07,0.258,2.54
NLA06608-1836,1,8/13/07,0.436,0.62
NLA06608-1839,1,9/20/07,0.069,0.06
NLA06608-1840,1,8/15/07,0.105,0.45
NLA06608-1851,1,8/21/07,0.178,0.77
NLA06608-1856,1,7/24/07,0.605,0.36
NLA06608-1857,1,7/25/07,0.04,1.2
NLA06608-1861,1,8/1/07,0.512,0.6
NLA06608-1862,1,7/12/07,0.59,0.3
NLA06608-1863,1,9/7/07,0.425,0.69
NLA06608-1866,1,7/23/07,0.157,0.18
NLA06608-1867,1,7/18/07,0.104,0.18
NLA06608-1868,1,8/15/07,0.645,1.92
NLA06608-1871,1,7/19/07,0.134,0.32
NLA06608-1873,1,9/11/07,0.025,0.64
NLA06608-1874,1,8/14/07,0.037,0.47
NLA06608-1879,1,8/22/07,0.575,0.54
NLA06608-1884,1,7/18/07,0.174,1.03
NLA06608-1893,1,7/12/07,0.152,0.54
NLA06608-1894,1,8/8/07,0.001,0.01
NLA06608-1906,1,7/20/07,0.062,0.1
NLA06608-1908,1,8/7/07,0.181,0.43
NLA06608-1910,1,7/11/07,0.406,0.45
NLA06608-1930,1,7/24/07,0.016,0.05
NLA06608-1936,1,9/13/07,0.244,0.48
NLA06608-1948,1,8/21/07,0.924,0.53
NLA06608-1953,1,8/25/07,0.021,0.18
NLA06608-1958,1,8/27/07,0.013,0.27
NLA06608-1959,1,6/11/07,0.346,0.24
NLA06608-1960,1,8/23/07,0.084,0.12
NLA06608-1968,1,8/23/07,0.455,0.52
NLA06608-1975,1,8/8/07,0.532,7.57
NLA06608-1985,1,7/21/07,0.027,0.53
NLA06608-1989,1,8/2/07,0.043,0.31
NLA06608-1992,1,9/20/07,0.166,0.16
NLA06608-1998,1,8/6/07,0.267,0.95
NLA06608-2005,1,7/12/07,0.207,0.3
NLA06608-2007,1,6/24/07,0.478,0.55
NLA06608-2010,1,7/19/07,0.317,0.54
NLA06608-2027,1,6/20/07,0.073,0.28
NLA06608-2036,1,7/11/07,0.483,1.31
NLA06608-2037,1,6/14/07,0.202,0.69
NLA06608-2039,1,8/9/07,0.786,0.6
NLA06608-2049,1,9/17/07,0.167,3.2
NLA06608-2056,1,8/22/07,0.318,0.92
NLA06608-2072,1,8/30/07,0.183,0.21
NLA06608-2074,1,6/13/07,0.182,0.18
NLA06608-2076,1,9/12/07,0.116,0.54
NLA06608-2078,1,8/24/07,0.638,1.72
NLA06608-2082,1,9/4/07,0.038,0.38
NLA06608-2086,1,8/29/07,0.08,0.28
NLA06608-2087,1,7/25/07,0.776,2.13
NLA06608-2091,1,7/2/07,0.07,0.16
NLA06608-2092,1,9/15/07,0.494,0.4
NLA06608-2094,1,7/11/07,0.11,0.13
NLA06608-2095,1,7/8/07,0.211,1.67
NLA06608-2103,1,6/13/07,0.891,1.19
NLA06608-2114,1,7/25/07,0.09,0.32
NLA06608-2117,1,9/25/07,0.494,0.22
NLA06608-2120,1,7/25/07,0.105,0.25
NLA06608-2123,1,8/13/07,0.49,0.76
NLA06608-2131,1,6/26/07,0.505,0.68
NLA06608-2134,1,8/1/07,0.221,0.31
NLA06608-2135,1,8/20/07,0.737,2.69
NLA06608-2152,1,10/2/07,0.162,0.46
NLA06608-2154,1,7/23/07,0.571,0.42
NLA06608-2155,1,7/25/07,0.222,2.43
NLA06608-2162,1,7/9/07,0.164,1.02
NLA06608-2170,1,8/24/07,0.926,1.85
NLA06608-2177,1,9/14/07,0.493,5.33
NLA06608-2185,1,7/19/07,0.129,13.29
NLA06608-2187,1,7/10/07,0.079,0.37
NLA06608-2193,1,8/22/07,0.848,0.55
NLA06608-2196,1,8/9/07,0.187,0.36
NLA06608-2217,1,6/5/07,0.107,0.48
NLA06608-2219,1,7/10/07,0.177,0.26
NLA06608-2241,1,9/6/07,0.028,0.26
NLA06608-2250,1,7/29/07,0.035,0.82
NLA06608-2253,1,7/12/07,0.068,0.03
NLA06608-2257,1,8/24/07,0.195,0.8
NLA06608-2266,1,6/23/07,0.13,6.76
NLA06608-2267,1,8/6/07,0.18,0.81
NLA06608-2283,1,7/17/07,0.122,0.8
NLA06608-2305,1,7/16/07,0.333,3.33
NLA06608-2322,1,8/23/07,0.121,1.05
NLA06608-2332,1,8/9/07,0.236,1.5
NLA06608-2333,1,7/31/07,0.019,0.01
NLA06608-2345,1,8/16/07,0.102,5.92
NLA06608-2354,1,7/13/07,0.143,1.19
NLA06608-2372,1,8/28/07,0.258,0.63
NLA06608-2379,1,7/31/07,0.514,2.22
NLA06608-2418,1,7/11/07,0.059,0.04
NLA06608-2426,1,9/27/07,0.668,0.58
NLA06608-2429,1,8/14/07,0.03,0.56
NLA06608-2438,1,9/11/07,0.796,0.77
NLA06608-2450,1,7/24/07,0.221,1.43
NLA06608-2453,1,7/10/07,0.154,0.65
NLA06608-2457,1,8/23/07,0.241,0.75
NLA06608-2463,1,7/19/07,0.036,0.4
NLA06608-2477,1,6/26/07,0.315,0.2
NLA06608-2481,1,8/1/07,0.107,0.39
NLA06608-2492,1,7/24/07,0.058,0.14
NLA06608-2497,1,7/17/07,0.1,0.07
NLA06608-2507,1,7/11/07,0.017,0.08
NLA06608-2513,1,8/21/07,0.218,3.32
NLA06608-2523,1,7/31/07,0.284,0.91
NLA06608-2524,1,9/14/07,0.444,1.21
NLA06608-2565,1,8/22/07,0.719,0.81
NLA06608-2566,1,7/12/07,0.292,0.09
NLA06608-2593,1,7/26/07,0.544,0.72
NLA06608-2629,1,7/10/07,0.247,0.17
NLA06608-2634,1,7/30/07,0.087,0.3
NLA06608-2640,1,8/9/07,0.185,0.78
NLA06608-2644,1,8/20/07,0.35,0.71
NLA06608-2655,1,8/29/07,0.723,1.47
NLA06608-2657,1,9/13/07,0.645,0.23
NLA06608-2663,1,7/10/07,0.369,0.17
NLA06608-2673,1,9/18/07,0.139,0.56
NLA06608-2685,1,9/14/07,0.158,2.09
NLA06608-2696,1,7/26/07,0.048,0.08
NLA06608-2704,1,9/11/07,0.818,1.18
NLA06608-2708,1,8/8/07,0.157,0.39
NLA06608-2714,1,8/11/07,0.515,2.48
NLA06608-2715,1,8/17/07,0.325,0.57
NLA06608-2726,1,9/12/07,0.491,6.27
NLA06608-2740,1,8/14/07,0.206,0.83
NLA06608-2753,1,8/30/07,0.516,4.22
NLA06608-2759,1,8/30/07,0.191,0.13
NLA06608-2776,1,10/16/07,0.349,0.47
NLA06608-2779,1,7/18/07,0.139,0.99
NLA06608-2797,1,6/28/07,0.12,0.24
NLA06608-2800,1,9/25/07,0.217,4.05
NLA06608-2801,1,8/1/07,0.133,0.18
NLA06608-2807,1,8/13/07,0.167,0.91
NLA06608-2823,1,9/5/07,0.211,0.37
NLA06608-2824,1,8/13/07,0.02,0.05
NLA06608-2831,1,8/1/07,0.064,0.19
NLA06608-2833,1,8/15/07,0.159,1.81
NLA06608-2874,1,9/26/07,0.17,3.76
NLA06608-2881,1,9/21/07,0.116,3.86
NLA06608-2889,1,7/18/07,0.783,21.97
NLA06608-2891,1,7/16/07,0.197,1.36
NLA06608-2916,1,8/6/07,0.18,0.28
NLA06608-2924,1,8/1/07,0.701,2.05
NLA06608-2954,1,7/26/07,0.324,0.51
NLA06608-2955,1,6/28/07,0.042,0.08
NLA06608-2972,1,8/19/07,0.639,0.53
NLA06608-2987,1,8/1/07,0.624,0.45
NLA06608-2996,1,10/18/07,0.548,0.78
NLA06608-3032,1,10/17/07,0.396,0.6
NLA06608-3035,1,7/25/07,0.393,3.82
NLA06608-3083,1,8/6/07,0.135,0.68
NLA06608-3096,1,9/25/07,0.296,0.68
NLA06608-3121,1,8/7/07,0.042,0.1
NLA06608-3147,1,8/21/07,0.084,0.37
NLA06608-3153,1,9/25/07,0.216,4.84
NLA06608-3157,1,7/11/07,0.06,0.67
NLA06608-3160,1,8/15/07,0.335,1.01
NLA06608-3169,1,8/21/07,0.654,0.36
NLA06608-3228,1,10/9/07,0.223,1.01
NLA06608-3265,1,9/5/07,0.097,1.26
NLA06608-3303,1,10/17/07,0.585,3.2
NLA06608-3313,1,8/16/07,0.052,0.11
NLA06608-3320,1,9/17/07,0.068,0.17
NLA06608-3329,1,7/19/07,0.097,0.19
NLA06608-3480,1,8/14/07,0.253,0.16
NLA06608-3484,1,8/20/07,0.779,0.85
NLA06608-3608,1,8/16/07,0.587,1.29
NLA06608-3616,1,7/30/07,0.534,1.38
NLA06608-3644,1,8/15/07,0.626,0.5
NLA06608-3656,1,8/22/07,0.932,0.52
NLA06608-3660,1,8/23/07,0.596,0.58
NLA06608-3698,1,7/19/07,0.13,0.12
NLA06608-3846,1,7/12/07,0.089,0.68
NLA06608-3890,1,7/11/07,0.121,1.2
NLA06608-3911,1,9/17/07,0.458,0.48
NLA06608-4056,1,7/5/07,0.387,1.1
NLA06608-4064,1,7/31/07,0.457,0.73
NLA06608-4206,1,9/19/07,0.747,1.28
NLA06608-4252,1,8/23/07,0.123,1.71
NLA06608-4320,1,9/5/07,0.095,0.48
NLA06608-4382,1,9/10/07,0.062,0.08
NLA06608-4413,1,7/18/07,0.107,0.14
NLA06608-4414,1,8/29/07,0.153,0.19
NLA06608-4440,1,9/4/07,0.178,0.6
NLA06608-4472,1,8/7/07,0.307,0.41
NLA06608-4504,1,6/5/07,0.088,0.19
NLA06608-4610,1,7/24/07,0.018,0.06
NLA06608-4643,1,8/21/07,0.253,0.51
NLA06608-4650,1,9/13/07,0.081,0.1
NLA06608-4659,1,9/19/07,0.123,0.19
NLA06608-4686,1,9/12/07,0.502,0.71
NLA06608-4698,1,9/16/07,0.72,0.56
NLA06608-4828,1,9/4/07,0.083,0.06
NLA06608-4929,1,7/17/07,0.043,0.12
NLA06608-4949,1,8/29/07,0.003,0.01
NLA06608-9999,1,7/31/07,0.137,2.97
NLA06608-ACAD_LAKES_0435,1,8/1/07,0.012,0.05
NLA06608-ALPS-1218,1,8/3/07,0.334,1.11
NLA06608-ALSC:020149,1,9/11/07,0.114,1.06
NLA06608-ELS:1C2-032,1,7/12/07,0.105,0.31
NLA06608-ELS:1C3-003,1,8/15/07,0.039,0.2
NLA06608-ELS:1D1-035,1,7/25/07,0.094,0.18
NLA06608-ELS:1D2-087,1,7/27/07,0.257,0.25
NLA06608-ELS:1E1-052,1,8/7/07,0.244,2.56
NLA06608-ELS:1E1-096,1,8/9/07,0.071,0.25
NLA06608-ELS:1E1-128,1,8/10/07,0.13,0.5
NLA06608-ELS:1E2-027,1,8/14/07,0.263,5.82
NLA06608-ELS:1E3-002,1,8/7/07,0.374,0.51
NLA06608-ELS:1E3-012,1,8/28/07,0.028,0.43
NLA06608-ELS:1E3-071,1,8/8/07,0.26,0.19
NLA06608-ELS:2B2-008,1,8/21/07,0.101,0.93
NLA06608-ELS:2C2-048,1,8/24/07,1.036,3.12
NLA06608-ELS:2C3-018,1,8/25/07,0.673,2.26
NLA06608-ELS:2D3-008,1,8/10/07,0.27,2.4
NLA06608-EMAP:ME011L,1,9/14/07,0.065,0.75
NLA06608-EMAP:ME012L,1,8/28/07,0.007,1.37
NLA06608-EMAP:ME254L,1,9/5/07,0.044,0.69
NLA06608-EMAP:ME263L,1,8/9/07,0.15,0.59
NLA06608-EMAP:ME518L,1,8/10/07,0.045,1.05
NLA06608-FL:107895579,1,8/1/07,0.244,0.1
NLA06608-FL:16674741,1,8/3/07,0.097,0.91
NLA06608-FL:18261987,1,8/5/07,0.777,0.64
NLA06608-FL:99324403,1,8/4/07,0.457,0.87
NLA06608-FL:99344895,1,8/6/07,0.438,0.27
NLA06608-IN:646,1,7/31/07,0.199,2.86
NLA06608-MI:7007,1,8/1/07,0.221,0.79
NLA06608-MN:03-0029,1,8/8/07,0.808,3.33
NLA06608-MN:06-0002,1,9/6/07,0.752,1.07
NLA06608-MN:11-0102,1,8/11/07,0.508,3.98
NLA06608-MN:15-0010,1,8/9/07,0.32,6.28
NLA06608-MN:22-0074,1,9/11/07,0.586,2.03
NLA06608-MN:49-0140,1,9/24/07,0.313,5.13
NLA06608-MN:51-0063,1,9/5/07,0.479,0.79
NLA06608-MN:56-0306,1,9/17/07,0.561,5.01
NLA06608-MN:61-0037,1,9/25/07,0.419,4
NLA06608-MN:74-0023,1,9/12/07,0.597,2.96
NLA06608-MN:75-0200,1,9/7/07,0.646,0.93
NLA06608-MN:77-0019,1,9/16/07,0.347,2.38
NLA06608-MN:87-0030,1,9/8/07,0.597,0.84
NLA06608-NELP-0253,1,8/8/07,0.214,3.75
NLA06608-NELP-0955,1,8/29/07,0.019,0.53
NLA06608-NELP-1041,1,8/1/07,0.198,0.05
NLA06608-NELP-1330,1,8/28/07,0.051,0.66
NLA06608-NELP-2155,1,8/29/07,0.039,0.46
NLA06608-NELP-3355,1,8/29/07,0.058,0.19
NLA06608-NELP-3586,1,8/30/07,0.056,1.72
NLA06608-NH250L,1,7/26/07,0.065,0.34
NLA06608-NH4912,1,8/9/07,0.038,0.43
NLA06608-NV:2,1,9/21/07,0.189,0.71
NLA06608-NV:3,1,9/20/07,0.145,0.83
NLA06608-NV:4,1,9/17/07,0.429,0.21
NLA06608-OH:19,1,9/6/07,0.479,0.19
NLA06608-OH:22,1,9/5/07,0.304,1.33
NLA06608-R10BULLTR,1,8/16/07,0.007,0.14
NLA06608-R10CAPEHO,1,8/14/07,0.106,0.31
NLA06608-R10CHARLT,1,8/8/07,0.283,6.65
NLA06608-R10COUNCI,1,8/22/07,0.121,1.11
NLA06608-R10DEERLA,1,8/9/07,0.185,1.01
NLA06608-R10FISHLA,1,8/12/07,0.224,1.04
NLA06608-R10FOURMI,1,8/7/07,0.184,5.87
NLA06608-R10RAINYL,1,8/19/07,0.1,2.5
NLA06608-R10SQUAWL,1,8/24/07,0.077,1.33
NLA06608-R10ULAKE,1,8/21/07,0.187,0.28
NLA06608-R10YELLOW,1,8/15/07,0.105,1.81
NLA06608-R31,1,7/30/07,0.016,0.11
NLA06608-R314,1,8/15/07,0.085,0.14
NLA06608-R315,1,8/28/07,0.057,0.26
